job_title,routine_task_pct,creativity_score,social_skill_score,education_level,annual_salary_usd,ai_tool_exposure,years_experience,industry,risk_level
Research Scientist,0.283,0.995,0.602,5,125951,0.547,6,5,0
Telemarketer,0.885,0.185,0.398,1,34827,0.933,1,1,2
Social Worker,0.16,0.363,0.921,4,47618,0.219,14,8,0
Customer Service Rep,0.897,0.148,0.67,2,34665,0.919,0,1,2
Research Scientist,0.131,0.969,0.622,4,124283,0.338,12,5,0
Truck Driver,0.658,0.147,0.229,1,41841,0.85,6,3,2
Data Entry Clerk,1.0,0.024,0.072,1,29271,1.0,13,0,2
Social Worker,0.211,0.566,0.94,4,61538,0.134,6,8,0
Data Entry Clerk,0.912,0.038,0.139,1,32939,0.95,8,0,2
Nurse,0.377,0.51,0.726,4,73953,0.355,3,4,0
Warehouse Worker,0.756,0.13,0.186,1,36257,0.82,7,3,2
Marketing Manager,0.298,0.858,0.818,3,92620,0.51,9,7,0
Data Entry Clerk,0.957,0.108,0.18,1,28521,0.997,9,0,2
Graphic Designer,0.333,0.88,0.512,2,53203,0.711,10,7,1
Truck Driver,0.763,0.184,0.243,1,54190,0.787,8,3,2
Lawyer,0.288,0.88,0.845,3,143928,0.661,12,10,0
Pharmacist,0.582,0.448,0.579,5,144245,0.635,20,4,1
Teacher,0.252,0.55,1.0,3,48456,0.301,17,6,0
Lawyer,0.411,0.669,0.801,5,147143,0.554,11,10,0
Lawyer,0.34,0.806,0.746,4,126351,0.465,7,10,0
Research Scientist,0.231,0.962,0.747,5,117923,0.376,9,5,0
Financial Analyst,0.596,0.518,0.531,4,88709,0.659,7,2,1
Data Entry Clerk,0.949,0.0,0.165,2,39638,0.971,3,0,2
Warehouse Worker,0.829,0.083,0.195,1,35336,0.89,5,3,2
Nurse,0.31,0.467,0.85,4,66093,0.315,10,4,0
Pharmacist,0.625,0.417,0.594,4,119769,0.534,11,4,1
HR Manager,0.445,0.705,0.752,4,91086,0.472,10,9,0
Nurse,0.448,0.405,0.952,3,87867,0.216,2,4,0
Software Engineer,0.265,0.788,0.504,4,112538,0.635,12,5,0
Marketing Manager,0.307,0.734,0.844,3,90260,0.493,5,7,0
Software Engineer,0.4,0.825,0.508,3,126699,0.604,10,5,1
Cook / Chef,0.495,0.557,0.341,1,32302,0.362,11,11,1
Research Scientist,0.155,0.964,0.568,5,120792,0.429,3,5,0
Telemarketer,0.827,0.028,0.329,1,26845,0.872,11,1,2
Truck Driver,0.722,0.234,0.08,1,35927,0.801,16,3,2
Warehouse Worker,0.841,0.116,0.169,1,41769,0.841,4,3,2
Telemarketer,0.854,0.087,0.405,1,32394,0.935,0,1,2
Customer Service Rep,0.807,0.119,0.656,1,37265,0.928,0,1,2
Lawyer,0.353,0.832,0.746,5,130838,0.451,4,10,0
Software Engineer,0.291,0.701,0.625,4,95812,0.572,5,5,0
Financial Analyst,0.639,0.632,0.464,3,88263,0.743,10,2,1
Data Entry Clerk,0.865,0.11,0.15,1,39167,0.997,2,0,2
Software Engineer,0.237,0.787,0.542,4,113914,0.541,12,5,0
Radiologist,0.481,0.575,0.544,4,307538,0.768,6,4,1
Warehouse Worker,0.74,0.135,0.058,1,39581,0.904,7,3,2
Pharmacist,0.574,0.332,0.774,4,127486,0.658,4,4,1
Teacher,0.277,0.772,0.932,4,59690,0.213,7,6,0
Marketing Manager,0.277,0.929,0.764,4,94753,0.565,14,7,0
HR Manager,0.478,0.509,0.921,4,75150,0.509,2,9,1
Financial Analyst,0.542,0.513,0.572,4,74069,0.66,7,2,1
Cook / Chef,0.586,0.729,0.375,1,34956,0.354,10,11,1
Marketing Manager,0.373,0.753,0.778,3,91381,0.542,7,7,0
Cook / Chef,0.582,0.714,0.428,1,30447,0.302,16,11,1
Research Scientist,0.134,0.921,0.58,5,113107,0.333,11,5,0
Nurse,0.4,0.401,0.973,2,81664,0.337,3,4,0
Financial Analyst,0.63,0.568,0.397,3,97983,0.67,9,2,1
Marketing Manager,0.302,0.71,0.83,4,113163,0.554,0,7,0
Security Guard,0.755,0.16,0.362,1,30278,0.766,8,12,2
Social Worker,0.187,0.449,0.915,4,58349,0.17,3,8,0
Graphic Designer,0.427,0.941,0.367,3,55456,0.666,9,7,1
Customer Service Rep,0.733,0.084,0.573,1,33058,0.775,10,1,2
Accountant,0.67,0.374,0.347,2,63498,0.799,6,2,2
Customer Service Rep,0.788,0.168,0.644,1,35928,0.847,14,1,2
Security Guard,0.844,0.051,0.35,1,29594,0.735,11,12,2
Truck Driver,0.534,0.198,0.174,1,43952,0.793,9,3,2
Lawyer,0.268,0.739,0.861,5,137567,0.539,4,10,0
Customer Service Rep,0.871,0.203,0.621,2,37842,0.837,14,1,2
Software Engineer,0.4,0.686,0.56,4,117660,0.582,9,5,1
Pharmacist,0.642,0.444,0.705,5,129278,0.607,6,4,1
Research Scientist,0.179,0.971,0.607,4,104736,0.418,7,5,0
Warehouse Worker,0.855,0.052,0.24,1,37918,0.813,0,3,2
Nurse,0.403,0.441,0.886,3,87674,0.358,6,4,0
Customer Service Rep,0.868,0.075,0.618,1,37679,0.878,1,1,2
Graphic Designer,0.47,0.851,0.49,3,65530,0.701,0,7,1
Nurse,0.373,0.559,0.895,2,65502,0.297,6,4,0
Cook / Chef,0.671,0.748,0.434,1,31656,0.385,4,11,1
Accountant,0.611,0.302,0.371,2,72883,0.831,9,2,2
Research Scientist,0.185,0.928,0.631,5,114632,0.397,5,5,0
Teacher,0.204,0.609,0.919,4,45216,0.198,7,6,0
Financial Analyst,0.547,0.557,0.414,4,88652,0.794,12,2,1
Graphic Designer,0.446,0.888,0.427,3,60404,0.683,11,7,1
Accountant,0.624,0.503,0.411,2,69680,0.789,10,2,2
Radiologist,0.624,0.486,0.551,5,317451,0.723,3,4,1
Software Engineer,0.326,0.823,0.504,3,126704,0.615,7,5,1
Graphic Designer,0.41,0.979,0.44,3,62244,0.644,0,7,1
Telemarketer,0.844,0.128,0.407,1,32517,0.87,14,1,2
Telemarketer,0.84,0.0,0.446,1,27140,0.962,7,1,2
Lawyer,0.424,0.771,0.768,4,136549,0.593,6,10,1
Lawyer,0.29,0.759,0.781,5,134558,0.574,10,10,0
Marketing Manager,0.367,0.852,0.821,3,78862,0.471,2,7,0
Accountant,0.728,0.327,0.377,2,69079,0.747,10,2,2
Research Scientist,0.253,0.952,0.609,5,125836,0.51,10,5,0
Research Scientist,0.22,0.911,0.545,5,93320,0.385,1,5,0
Customer Service Rep,0.867,0.207,0.703,1,35392,0.884,12,1,2
Radiologist,0.452,0.507,0.653,4,303574,0.701,5,4,1
Social Worker,0.214,0.433,0.943,3,47657,0.222,6,8,0
Security Guard,0.755,0.004,0.335,1,37729,0.691,8,12,2
Graphic Designer,0.433,1.0,0.506,2,53986,0.628,0,7,1
Teacher,0.239,0.604,0.865,2,54736,0.364,2,6,0
Pharmacist,0.442,0.438,0.65,5,120607,0.624,18,4,1
Financial Analyst,0.565,0.601,0.508,4,96856,0.75,7,2,1
Customer Service Rep,0.785,0.128,0.533,2,37253,0.821,11,1,2
Cook / Chef,0.613,0.591,0.499,1,36783,0.34,10,11,1
Radiologist,0.565,0.537,0.491,4,322459,0.689,5,4,1
Nurse,0.457,0.386,0.949,3,75416,0.427,6,4,1
Software Engineer,0.281,0.804,0.505,3,112253,0.734,6,5,1
Radiologist,0.51,0.488,0.626,4,351022,0.721,5,4,1
Accountant,0.757,0.355,0.352,3,79568,0.722,2,2,2
Accountant,0.541,0.308,0.29,3,83416,0.789,4,2,2
Radiologist,0.589,0.526,0.558,5,252290,0.764,6,4,1
Financial Analyst,0.667,0.479,0.402,4,112968,0.677,7,2,1
Accountant,0.581,0.344,0.425,2,69394,0.66,6,2,2
Radiologist,0.475,0.614,0.522,3,324024,0.699,4,4,1
Lawyer,0.356,0.799,0.774,4,131603,0.583,6,10,0
Accountant,0.586,0.298,0.324,2,72440,0.775,11,2,2
Accountant,0.541,0.369,0.379,3,67290,0.705,12,2,1
Security Guard,0.723,0.023,0.348,1,26273,0.712,9,12,2
Social Worker,0.306,0.459,0.955,3,59839,0.151,10,8,0
Social Worker,0.268,0.497,0.844,4,45471,0.117,5,8,0
Financial Analyst,0.682,0.537,0.54,4,97915,0.59,1,2,1
Lawyer,0.375,0.89,0.82,4,128241,0.6,17,10,0
Cook / Chef,0.562,0.784,0.478,1,35665,0.461,4,11,1
Lawyer,0.423,0.714,0.761,5,121949,0.566,14,10,0
Customer Service Rep,0.778,0.052,0.502,1,34025,0.885,7,1,2
HR Manager,0.407,0.57,0.772,4,68905,0.496,11,9,1
Telemarketer,0.954,0.172,0.362,1,34242,0.886,10,1,2
Nurse,0.388,0.376,0.904,3,85204,0.235,0,4,0
Warehouse Worker,0.811,0.113,0.227,1,46431,0.772,7,3,2
Lawyer,0.414,0.966,0.774,4,129667,0.462,5,10,0
Telemarketer,0.855,0.062,0.456,1,31316,0.928,5,1,2
Marketing Manager,0.357,0.738,0.748,4,89488,0.461,10,7,0
Social Worker,0.171,0.552,0.959,3,53206,0.18,7,8,0
Security Guard,0.766,0.065,0.204,1,35410,0.746,11,12,2
Data Entry Clerk,0.994,0.061,0.126,1,35552,0.941,1,0,2
Security Guard,0.724,0.108,0.374,1,22219,0.701,2,12,2
Customer Service Rep,0.807,0.133,0.62,1,40819,0.838,13,1,2
Software Engineer,0.362,0.795,0.59,3,101354,0.641,9,5,1
Marketing Manager,0.246,0.808,0.78,5,82870,0.55,10,7,0
Warehouse Worker,0.744,0.106,0.085,1,38670,0.854,10,3,2
Research Scientist,0.183,0.949,0.584,5,121291,0.341,12,5,0
Cook / Chef,0.557,0.743,0.436,1,37334,0.363,0,11,1
Social Worker,0.215,0.51,0.953,4,51219,0.139,13,8,0
Truck Driver,0.718,0.184,0.209,1,44607,0.798,11,3,2
Teacher,0.356,0.701,0.964,3,54425,0.231,6,6,0
Warehouse Worker,0.732,0.044,0.151,1,42266,0.876,7,3,2
Lawyer,0.375,0.81,0.727,5,132580,0.471,7,10,0
Data Entry Clerk,0.922,0.135,0.15,1,33145,0.961,11,0,2
Marketing Manager,0.263,0.722,0.811,5,77677,0.497,12,7,0
HR Manager,0.424,0.585,0.704,4,93789,0.432,8,9,1
Software Engineer,0.26,0.833,0.515,4,126865,0.596,3,5,0
Truck Driver,0.743,0.072,0.143,1,55123,0.818,6,3,2
Warehouse Worker,0.8,0.067,0.226,1,38886,0.853,2,3,2
Cook / Chef,0.541,0.598,0.449,1,31293,0.417,4,11,1
Telemarketer,0.786,0.081,0.479,1,30078,0.807,12,1,2
Marketing Manager,0.19,0.897,0.752,4,82013,0.535,14,7,0
Security Guard,0.718,0.0,0.304,1,31537,0.744,7,12,2
Teacher,0.335,0.668,0.865,4,53011,0.198,6,6,0
Customer Service Rep,0.825,0.151,0.643,2,34672,0.856,11,1,2
Telemarketer,0.841,0.193,0.404,1,30065,0.898,9,1,2
Graphic Designer,0.389,0.859,0.502,2,49027,0.684,3,7,1
Lawyer,0.439,0.771,0.801,5,122581,0.587,5,10,0
Cook / Chef,0.527,0.738,0.347,1,34777,0.49,9,11,1
Telemarketer,0.905,0.204,0.439,1,35366,0.85,6,1,2
Data Entry Clerk,0.935,0.049,0.182,1,36570,0.932,6,0,2
Nurse,0.399,0.446,0.965,3,71830,0.334,5,4,0
HR Manager,0.482,0.589,0.733,4,86900,0.582,0,9,1
Pharmacist,0.534,0.427,0.692,5,124237,0.596,1,4,1
Security Guard,0.729,0.118,0.461,1,35184,0.691,0,12,2
Teacher,0.28,0.668,0.821,4,55222,0.207,10,6,0
Security Guard,0.726,0.053,0.35,1,30432,0.633,10,12,2
Teacher,0.254,0.662,0.89,3,65248,0.174,12,6,0
Customer Service Rep,0.768,0.064,0.636,1,35159,0.942,3,1,2
Telemarketer,0.85,0.045,0.366,1,34148,0.933,9,1,2
Graphic Designer,0.39,0.82,0.505,3,51626,0.618,14,7,1
Pharmacist,0.51,0.411,0.645,4,116200,0.55,8,4,1
Financial Analyst,0.604,0.479,0.521,4,89035,0.656,7,2,1
Telemarketer,0.951,0.181,0.306,1,34097,0.823,7,1,2
Truck Driver,0.717,0.213,0.27,1,47791,0.723,10,3,2
Truck Driver,0.745,0.238,0.15,1,47879,0.905,4,3,2
Research Scientist,0.27,0.969,0.611,4,109951,0.484,6,5,0
Security Guard,0.855,0.183,0.272,1,29440,0.713,9,12,2
Research Scientist,0.186,0.908,0.548,5,111540,0.481,11,5,0
Marketing Manager,0.211,0.732,0.784,4,75187,0.497,6,7,0
Software Engineer,0.38,0.852,0.603,3,120455,0.634,7,5,1
Software Engineer,0.264,0.864,0.525,4,123961,0.645,7,5,0
Marketing Manager,0.376,0.832,0.811,3,75683,0.465,8,7,0
Truck Driver,0.659,0.096,0.244,1,48203,0.75,11,3,2
Lawyer,0.407,0.758,0.77,4,115478,0.555,1,10,0
Research Scientist,0.207,0.958,0.637,4,121544,0.462,2,5,0
Cook / Chef,0.503,0.714,0.322,1,34048,0.421,11,11,1
Pharmacist,0.569,0.326,0.637,4,123299,0.508,14,4,1
Research Scientist,0.162,0.925,0.582,5,125562,0.338,8,5,0
Data Entry Clerk,0.861,0.0,0.184,1,36097,0.906,4,0,2
Warehouse Worker,0.813,0.015,0.186,1,35746,0.813,5,3,2
Teacher,0.248,0.713,0.982,4,53087,0.336,4,6,0
Telemarketer,0.919,0.181,0.386,1,39101,0.913,4,1,2
Nurse,0.376,0.402,0.872,2,74009,0.309,0,4,0
Pharmacist,0.616,0.512,0.669,4,149880,0.587,9,4,1
Cook / Chef,0.625,0.658,0.472,1,26908,0.391,7,11,1
Security Guard,0.836,0.078,0.423,1,30967,0.788,3,12,2
Marketing Manager,0.297,0.803,0.851,2,86418,0.511,12,7,0
Lawyer,0.32,0.796,0.716,5,126317,0.627,11,10,0
Truck Driver,0.806,0.133,0.277,1,46997,0.906,9,3,2
Truck Driver,0.791,0.177,0.287,1,51787,0.804,13,3,2
Pharmacist,0.552,0.54,0.576,5,113929,0.582,10,4,1
Truck Driver,0.612,0.158,0.27,1,53091,0.882,5,3,2
Cook / Chef,0.512,0.59,0.405,1,36892,0.392,2,11,1
Pharmacist,0.602,0.388,0.664,4,101456,0.596,10,4,1
Software Engineer,0.431,0.832,0.501,4,135569,0.606,0,5,1
Truck Driver,0.682,0.187,0.232,1,47866,0.833,10,3,2
Research Scientist,0.139,0.832,0.621,4,116096,0.387,10,5,0
Teacher,0.232,0.674,1.0,3,59596,0.287,10,6,0
Software Engineer,0.37,0.751,0.572,4,118831,0.575,12,5,1
Financial Analyst,0.564,0.488,0.567,4,84464,0.612,1,2,1
Security Guard,0.759,0.101,0.329,1,28462,0.777,9,12,2
Financial Analyst,0.516,0.538,0.534,3,96341,0.756,10,2,1
Research Scientist,0.2,0.993,0.656,4,109026,0.408,8,5,0
Warehouse Worker,0.803,0.197,0.171,1,42857,0.784,16,3,2
Customer Service Rep,0.851,0.23,0.651,2,32471,1.0,3,1,2
Radiologist,0.481,0.577,0.612,5,310387,0.71,4,4,1
Research Scientist,0.196,0.923,0.612,4,101997,0.431,10,5,0
Graphic Designer,0.352,0.915,0.549,2,57501,0.624,7,7,1
Social Worker,0.221,0.519,0.91,3,46701,0.115,1,8,0
Warehouse Worker,0.786,0.093,0.104,1,38078,0.877,3,3,2
Warehouse Worker,0.754,0.022,0.123,1,40261,0.822,6,3,2
Telemarketer,0.824,0.152,0.451,1,33165,0.976,7,1,2
Customer Service Rep,0.827,0.144,0.619,1,41564,0.843,4,1,2
HR Manager,0.367,0.588,0.678,4,69895,0.501,6,9,1
HR Manager,0.447,0.652,0.875,3,85421,0.482,1,9,1
Truck Driver,0.645,0.176,0.042,1,54454,0.805,14,3,2
Customer Service Rep,0.746,0.19,0.474,2,32787,0.9,2,1,2
Accountant,0.667,0.314,0.368,2,78000,0.695,8,2,2
Customer Service Rep,0.802,0.194,0.631,2,44925,0.993,13,1,2
HR Manager,0.482,0.568,0.823,4,83373,0.493,3,9,1
Lawyer,0.312,0.744,0.759,5,139647,0.6,13,10,0
Pharmacist,0.636,0.472,0.66,5,116836,0.701,6,4,1
Cook / Chef,0.558,0.522,0.496,1,35728,0.596,0,11,1
Lawyer,0.453,0.707,0.732,5,118384,0.509,5,10,0
Data Entry Clerk,0.845,0.128,0.156,1,30952,0.98,12,0,2
Teacher,0.261,0.689,0.99,4,65516,0.214,10,6,0
Financial Analyst,0.54,0.476,0.573,4,84593,0.727,11,2,1
Radiologist,0.41,0.57,0.582,4,288608,0.75,12,4,1
Customer Service Rep,0.78,0.203,0.574,1,36068,0.891,2,1,2
Graphic Designer,0.387,0.948,0.441,2,48068,0.692,7,7,1
Accountant,0.639,0.252,0.472,3,75360,0.826,4,2,2
Telemarketer,0.985,0.097,0.457,1,35238,0.869,6,1,2
Telemarketer,0.848,0.057,0.473,1,33128,0.871,0,1,2
Lawyer,0.366,0.847,0.832,4,147859,0.529,7,10,0
Social Worker,0.251,0.575,1.0,4,48916,0.193,9,8,0
Radiologist,0.53,0.506,0.535,4,334169,0.71,9,4,1
Teacher,0.254,0.687,0.893,4,59494,0.188,9,6,0
Graphic Designer,0.391,0.866,0.475,2,55692,0.651,8,7,1
Warehouse Worker,0.865,0.072,0.144,1,33108,0.78,5,3,2
HR Manager,0.512,0.546,0.749,4,77495,0.472,2,9,1
Lawyer,0.325,0.869,0.638,4,132475,0.572,5,10,0
Radiologist,0.502,0.484,0.501,5,369137,0.727,7,4,1
Customer Service Rep,0.812,0.108,0.616,1,36647,0.904,7,1,2
Truck Driver,0.662,0.175,0.21,1,46596,0.846,7,3,2
Marketing Manager,0.283,0.753,0.904,3,86888,0.51,3,7,0
Cook / Chef,0.526,0.578,0.432,1,37461,0.401,1,11,1
Financial Analyst,0.547,0.483,0.365,3,84078,0.651,6,2,1
Marketing Manager,0.264,0.756,0.909,4,97087,0.512,7,7,0
Software Engineer,0.315,0.778,0.379,4,123667,0.519,9,5,1
Software Engineer,0.283,0.786,0.545,4,111694,0.665,3,5,1
Software Engineer,0.236,0.79,0.639,3,137822,0.588,0,5,0
Graphic Designer,0.318,0.888,0.557,3,54965,0.627,9,7,1
Cook / Chef,0.633,0.634,0.507,1,37683,0.372,5,11,1
Financial Analyst,0.587,0.579,0.479,3,102026,0.605,13,2,1
Cook / Chef,0.545,0.648,0.346,1,34140,0.422,11,11,1
Teacher,0.189,0.685,0.997,3,58405,0.311,6,6,0
Pharmacist,0.558,0.386,0.628,4,129814,0.575,3,4,1
Customer Service Rep,0.762,0.0,0.578,1,30127,0.818,8,1,2
Warehouse Worker,0.76,0.043,0.156,1,34823,0.914,4,3,2
Marketing Manager,0.285,0.894,0.748,4,81532,0.526,6,7,0
Research Scientist,0.156,0.928,0.618,4,118224,0.418,8,5,0
Marketing Manager,0.232,0.734,0.78,3,104241,0.44,11,7,0
